<b>Array Method</b>: None | <b>Array Method</b> that Joins two or more arrays, and returns a copy of the joined arrays | None |  | <div class="w3-code notranslate jsHigh"> const arr1 = ["Cecilie", "Lone"];<br/> const arr2 = ["Emil", "Tobias", "Linus"];<br/> const children = arr1.concat(arr2); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Copies array elements within the array, to and from specified positions | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.copyWithin(2, 0);</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Returns a key/value pair Array Iteration Object | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> const f = fruits.entries();<br/><br/>for (let x of f) {<br/>   document.getElementById("demo").innerHTML += x;<br/>} </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Checks if every element in an array pass a test | None |  | <div class="w3-code notranslate jsHigh"> const ages = [32, 33, 16, 40];<br/><br/> ages.every(checkAge)<br/> <br/> function checkAge(age) {<br/>  return age &gt; 18;<br/>}<br/> </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Fill the elements in an array with a static value | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.fill("Kiwi");</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Creates a new array with every element in an array that pass a test | None |  | <div class="w3-code notranslate jsHigh"> const ages = [32, 33, 16, 40];<br/> const result = ages.filter(checkAdult);<br/> <br/> function checkAdult(age) {<br/>   return age &gt;= 18;<br/>}<br/> </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Returns the value of the first element in an array that pass a test | None |  | <div class="w3-code notranslate jsHigh"> const ages = [3, 10, 18, 20];<br/><br/> function checkAge(age) {<br/>  return age &gt; 18;<br/>}<br/><br/>function myFunction() {<br/>     document.getElementById("demo").innerHTML = ages.find(checkAge);<br/>}</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Returns the index of the first element in an array that pass a test | None |  | <div class="w3-code notranslate jsHigh"> const ages = [3, 10, 18, 20];<br/><br/> ages.findIndex(checkAge);<br/><br/> function checkAge(age) {<br/>   return age &gt; 18;<br/> } </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Calls a function for each array element | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["apple", "orange", "cherry"];<br/>fruits.forEach(myFunction);<br/> </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Creates an array from an object | None |  | <div class="w3-code notranslate jsHigh"> Array.from("ABCDEFG") </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Check if an array contains the specified element | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.includes("Mango"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Search the array for an element and returns its position | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let index = fruits.indexOf("Apple"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Checks whether an object is an array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let result = Array.isArray(fruits); </div> | es6 
